|Исполнение|Тип накопителя|Назначение|Объем|Форм-фактор|Интерфейсы подключения|Объем буфера обмена|Частота вращения шпинделя|Кол-во пластин|Среднее время поиска|Потребляемая мощность при ожидании|Ударостойкость при работе|Уровень шума в режиме ожидания|Наработка на отказ|Гарантия производителя|Потребляемая мощность при работе|Уровень шума при чтении|Функции и возможности|Пыле-,влагозащита|Стандарт защиты MIL-STD-810|Источник питания (внешние)|Корпус|Размеры|Вес|Объем кеш-памяти NAND|Метод записи|Скорость передачи данных|Маркировка производителя|Гелиевый|Код EAN / UPS / GTIN|Чехол в комплекте
"Dell SATA 2.5"" 400-AEEM 400-AEEM"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"Dell SATA 2.5"" 400-AEFD 400-AEFD"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AEFJ 400-AEFJ|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AEFW 400-AEFW|встраиваемый|HDD|для сервера|1200 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AFRY 400-AFRY"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Dell SATA 400-AGMN 400-AGMN|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 400-AHID 400-AHID|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AIUC 400-AIUC|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AJOU 400-AJOU|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Dell SAS 400-AJRR 400-AJRR|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"IBM Server 2.5"" 90Y8926 90Y8926"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS|8 МБ|15000 об/мин|||||||||||||||147x102x25 мм||||||||
HP Server SAS 384854-B21 384854-B21|встраиваемый|HDD|для сервера|146 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
HP Server SAS 375870-B21 375870-B21|встраиваемый|HDD|для сервера|72 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
HP Server SAS 454232-B21 454232-B21|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Seagate Enterprise NAS HDD ST5000VN0001 ST5000VN0001|встраиваемый|HDD|для сервера|5000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс||300 G|26 дБ|1.2 млн. ч|5 лет|6.9 Вт|27 дБ||||||147x101.85x26 мм|780 г|||||||
"Dell SATA 2.5"" 400-AMIK 400-AMIK"|встраиваемый|HDD|для сервера|960 ГБ|"2.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"HP Midline SAS 2.5"" 765464-B21 765464-B21"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин||9 мс|||||||||||||119x76x16 мм||||||||
"Dell SAS 2.5"" 400-ADPE 400-ADPE"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AKNH 400-AKNH"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS 400-AEEY 400-AEEY|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS|64 МБ|15000 об/мин|||||||||||||||||||||||
Dell SATA 400-AFYB 400-AFYB|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AMPG 400-AMPG|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Seagate Enterprise NAS HDD ST8000NE0001 ST8000NE0001|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||6.9 Вт|250 G||1.2 млн. ч|5 лет|9 Вт|||||||147x101.85x26 мм|780 г|||||||
Dell SATA 400-AEEZ 400-AEEZ|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJQX 400-AJQX"|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SATA 2.5"" 400-AKWL 400-AKWL"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SATA, SATA 2, SATA 3|32 МБ|7200 об/мин|||||||||||||||||||||||
Dell SAS 400-ALNY 400-ALNY|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"HP Midline SAS 2.5"" 832514-B21 832514-B21"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Server SAS 737396-B21 737396-B21|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||102x189x26 мм||||||||
Dell SAS 400-AJOE 400-AJOE|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"HP M6710 SAS 2.5"" QR492A QR492A"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин||||||||||||||||450 г|||||||
"HP M6710 SAS 2.5"" QR494A QR494A"|встраиваемый|HDD|для сервера|450 ГБ|"2.5 """|SAS||10000 об/мин||||||||||||||||450 г|||||||
"HP M6710 SAS 2.5"" QR496A QR496A"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин||||||||||||||||450 г|||||||
Dell SAS 400-ACZM 400-ACZM|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-ALOB 400-ALOB|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SATA 400-ATJJ 400-ATJJ|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-ATJU 400-ATJU"|встраиваемый|HDD|для сервера|2000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS ATK 400-ATKR 400-ATKR|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJRV 400-AJRV"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Seagate Exos 7E8 ST8000NM0045 ST8000NM0045|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|7.6 Вт|250 G||2 млн. ч|5 лет|11 Вт|||||||147x102x26 мм|780 г|||||||
Dell SATA 400-AKWS 400-AKWS|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|||||||||||||||||||||||
Dell SAS 400-ALPB 400-ALPB|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SATA 400-ASHH 400-ASHH|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA 400-ASMG 400-ASMG|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Server SAS 376595-001 376595-001|встраиваемый|HDD|для сервера|148 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS ATK 400-ATKL 400-ATKL|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS ATK 400-ATKZ 400-ATKZ|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SATA ATK 400-ATKJ 400-ATKJ|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SATA ATK 400-ATKV 400-ATKV|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SAS ASL 400-ASLU 400-ASLU|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Seagate Enterprise Capacity HDD 2.5"" ST2000NX0243 ST2000NX0243"|встраиваемый|HDD|для сервера|2000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|1.14 Вт|25 G||2 млн. ч|5 лет|5.22 Вт|||||||100x70x15 мм|198 г|||||||
Dell SATA 400-ASHI 400-ASHI|встраиваемый|HDD|для сервера|1200 ГБ|"3.5 """|SATA, SATA 2, SATA 3||10000 об/мин|||||||||||||||||||||||
Dell SAS 400-ALRT 400-ALRT|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 7K 400-BEII 400-BEII|встраиваемый|HDD|для сервера|14000 ГБ|"3.5 """|SAS|||||||||||||||||||||||||
Dell SAS 7.2K 400-BKPTt 400-BKPTt|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 7.2K 400-AUUS 400-AUUS|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 7.2K 400-AUSS 400-AUSS|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-ASIB 400-ASIB|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 15K 400-ARWN 400-ARWN|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS 15K 400-ATIO 400-ATIO|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS 15K 400-ATIJ 400-ATIJ|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"HP Server SATA 7.2K 3.5"" 881785-B21 881785-B21"|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||2 года||||||||||||||||
Dell SAS 7.2K 400-AUTD 400-AUTD|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 7.2K 400-ALRS 400-ALRS|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SATA 400-AJPZ 400-AJPZ|встраиваемый|HDD|для сервера|1200 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|||||||||||||||||||||||
Dell SAS 15K 400-APGL 400-APGL|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS 7.2K 400-AEGH 400-AEGH|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 15K 400-AJRF 400-AJRF|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS 7.2K 400-ALQF 400-ALQF|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 7.2K 400-ALQC 400-ALQC|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 7.2K 400-ALSB 400-ALSB|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 7.2K 400-ALUN 400-ALUN|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AJOV 400-AJOV|встраиваемый|HDD|для сервера|1200 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP Server SAS 7.2K 3.5"" 818367-B21 818367-B21"|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SATA 7.2K 3.5"" 846608-001 846608-001"|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SATA 7.2K 3.5"" 862138-001 862138-001"|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SAS 7.2K 3.5"" 834031-B21 834031-B21"|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SATA 7.2K 3.5"" 861742-B21 861742-B21"|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SAS 7.2K 3.5"" 861746-B21 861746-B21"|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SAS 7.2K 3.5"" Q2R42A Q2R42A"|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SATA 7.2K 3.5"" 881787-B21 881787-B21"|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SATA 7.2K 3.5"" P09163-B21 P09163-B21"|встраиваемый|HDD|для сервера|14000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SAS 7.2K 3.5"" P09153-B21 P09153-B21"|встраиваемый|HDD|для сервера|14000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SATA 7.2K 3.5"" 857648-B21 857648-B21"|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SAS 15K 3.5"" 432095-B21 432095-B21"|встраиваемый|HDD|для сервера|72 ГБ|"3.5 """|SAS||15000 об/мин|||||||2 года||||||||||||||||
Dell SAS 7.2K 400-BJKO 400-BJKO|встраиваемый|HDD|для сервера|16000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AIOM 400-AIOM"|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"HP Server SAS 7.2K 3.5"" 461137-B21 461137-B21"|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
HP LFF SAS 695507-001 695507-001|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"HP Server SAS 7.2K 3.5"" 507613-001 507613-001"|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
"HP Server SAS 7.2K 3.5"" 649327-001 649327-001"|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
Dell SAS 7.2K 400-BKZN 400-BKZN|встраиваемый|HDD|для сервера|18000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS TRCN6 TRCN6|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"HP Server SATA 2.5"" P18426-B21 P18426-B21"|встраиваемый|HDD|для сервера|1920 ГБ|"2.5 """|SATA 3|||||||||2 года||||||||||||||||
Dell SATA 345-BEFW 345-BEFW|встраиваемый|HDD|для сервера|960 ГБ|"2.5 """|SATA 3||7200 об/мин|||||||||||||||||||||||
"Seagate Enterprise Capacity HDD 2.5"" ST1000NX0373 ST1000NX0373"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS|128 МБ|7200 об/мин||4 мс|1.52 Вт|25 G||1.4 млн. ч|5 лет|5.9 Вт|||||||100x70x15 мм|198 г|||||||
"Seagate Constellation.2 2.5"" ST9500620NS ST9500620NS"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|2.7 Вт|70 G|22 дБ|1.4 млн. ч||4.5 Вт|28 дБ||||||||||||||
"HP Midline SATA 2.5"" 655708-B21 655708-B21"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||4 мс|||||||||||||76x119x16 мм||||||||
WD Caviar Blue WD5000AAKX 5000AAKX|встраиваемый|HDD|для ПК|500 ГБ|"3.5 """|SATA, SATA 2, SATA 3|16 МБ|7200 об/мин|||0.7 Вт|30 G|28 дБ|300 тыс. раз|3 года|6.8 Вт|33 дБ|||||||690 г|||126 МБ/с||||
"WD Blue 2.5"" WD10JPVX 10JPVX"|встраиваемый|HDD|для ПК|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|8 МБ|5200 об/мин||6 мс||400 G|22 дБ||2 года|1.4 Вт|25 дБ|режим экономии энергии|||||||||||||
"Seagate Constellation.2 2.5"" ST91000640NS ST91000640NS"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|3.3 Вт|70 G|22 дБ|1.4 млн. ч||5.2 Вт|28 дБ||||||||||||||
Seagate Constellation ES.2 ST33000651NS ST33000651NS|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс|6.4 Вт|70 G||1.2 млн. ч|5 лет|9 Вт|||||||||||155 МБ/с||||
Seagate Constellation ES.3 ST4000NM0033 ST4000NM0033|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс||300 G|||5 лет||||||||||||||||
HP Server SATA 801884-B21 801884-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||102x146x26 мм||||||||
HP Server SATA 801886-B21 801886-B21|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||102x146x26 мм||||||||
HP Server SATA AJ740B AJ740B|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||||||||||
"HP MSA SAS 2.5"" E2D55A E2D55A"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин||||||||||||||||450 г|||||||
"HP MSA SAS 2.5"" E7W47A E7W47A"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин||||||||||||||||450 г|||||||
"HP MSA SAS 2.5"" J9F46A J9F46A"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Toshiba X300 HDWE140EZSTA HDWE140EZSTA|встраиваемый|HDD|для ПК|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6 Вт|70 G|31 дБ||2 года|11.3 Вт|||||||147x102x26 мм|720 г||||HDWE140EZSTA, HDWE140UZSVA|||
"Dell SAS 2.5"" 400-AEEE 400-AEEE"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJOQ 400-AJOQ"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJRK 400-AJRK"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEEO 400-AEEO"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AJSB 400-AJSB"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"HP MSA SAS 2.5"" J9F40A J9F40A"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
