|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
Intel Xeon E3 v3 E3-1246 v3|Xeon|Haswell|Intel LGA 1150|22 нм|3.5 ГГц|84 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, TSX, EM64T, FMA3, NX, XD, HT, TBT 2.0, VT-x, VT-d, TXT /|35||4 cores|||8 threads|HD Graphics P4600|5 ГТ/с||32 ГБ|1600 МГц|2 шт||3.9 ГГц|||256 КБ|1024 КБ|8 МБ|Есть||||||||||||||||||||
Intel Xeon Gold 6142 OEM|Xeon|Skylake|Intel LGA 3647|14 нм|2.6 ГГц|150 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|26|85 °С|16 cores|||32 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|CD8067303405400|3.7 ГГц|OEM (без коробки)||1024 КБ|16384 КБ|22 МБ|Есть|3.0|2666 МГц||||||||||||||||||
AMD Milan EPYC 7443 BOX|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2.85 ГГц|200 Вт||||24 cores|||48 threads|отсутствует|||||8 шт|100-100000340WOF|4 ГГц|BOX (без кулера)||||128 МБ|Есть||3200 МГц||||||||||||||||||
AMD Milan EPYC 7663 BOX|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2 ГГц|225 Вт||||56 cores|||112 threads|отсутствует|||||8 шт|100-100000318|3.5 ГГц|BOX (без кулера)||||256 МБ|Есть|4.0 / x128 /|3200 МГц|240 Вт|||||||||||||||||
AMD FX 6-Core FX-6100 BOX|FX|Zambezi|AMD AM3+|32 нм|3.3 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4||70 °С|6 cores|||6 threads|отсутствует|||64 ГБ|1866 МГц|2 шт||3.9 ГГц|BOX (без кулера)|Есть|288 КБ|6144 КБ|8 МБ|||||||||||||||||||||
AMD Fusion A4 A4-4000 BOX|Fusion A4|Piledriver|AMD FM2|32 нм|3 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4, 3DNow|30|70 °С|2 cores|||2 threads|Radeon HD 7480D||||1333 МГц|2 шт||3.2 ГГц|BOX (без кулера)||96 КБ|1024 КБ||||||||||||||||||||||
Intel Core i3 Ivy Bridge i3-3225|Core i3|Ivy Bridge|Intel LGA 1155|22 нм|3.3 ГГц|55 Вт|MMX, SSE, SSE2, SSE3, SSE4|33|65 °С|2 cores|||4 threads|HD Graphics 4000|5 ГТ/с||32 ГБ|1600 МГц|2 шт|||||64 КБ|512 КБ|3 МБ|Есть||||||||||||||||||||
Intel Core 2 Duo E8400|Core 2 Duo|Wolfdale|Intel LGA 775|45 нм|3 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4.1, EM64, NX, VT-x, VT-d, TXT|9|73 °С|2 cores||||отсутствует||||||EU80570PJ0806M||||64 КБ|6144 КБ||||||||||||||||||||||
Intel Core 2 Duo E6420|Core 2 Duo|Conroe|Intel LGA 775|65 нм|2.13 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|8|60 °С|2 cores||||||||||||||64 КБ|4096 КБ||||||||||||||||||||||
Intel Xeon E-2100 E-2136|Xeon|Coffee Lake|Intel LGA 1151 v2|14 нм|3.3 ГГц|80 Вт|MMX, EMMX, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, AVX, AVX2, ABM / BMI1, BMI2, FMA3, AES, ADX /|||6 cores|||12 threads|отсутствует|8 ГТ/с||||2 шт|CM8068403654318|4.5 ГГц||||||Есть|3.0|2666 МГц|||||||||||||386 КБ|1536 КБ|12 МБ|128 ГБ||
Intel Xeon E5 E5-2650L|Xeon|Sandy Bridge|Intel LGA 1150|32 нм|1.8 ГГц|70 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, EM64T / NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|18|72 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||384 ГБ|1600 МГц|4 шт||2.3 ГГц|||512 КБ|2048 КБ|20 МБ|Есть||||||||||||||||||||
Intel Core i9 Cascade Lake-X i9-10920X BOX|Core i9|Cascade Lake-X|Intel LGA 2066|14 нм|3.5 ГГц|165 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX512 VNNI, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, HT, TBT 2.0/3.0 /|33||12 cores|||24 threads|отсутствует|||256 ГБ||4 шт|BX8069510920X|4.6 ГГц|BOX (без кулера)|Есть|||19.25 МБ|Есть||2933 МГц|||||4.7 ГГц|||||26257 балл(ов)|51261 балл(ов)|||||||
Intel Celeron Kaby Lake G3950 BOX|Celeron|Kaby Lake|Intel LGA 1151|14 нм|3 ГГц|51 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4, SSE4.1, SSE4.2, AES / NX, XD, VT-x, TSX, MPX, SGX /|30|100 °С|2 cores|||2 threads|HD Graphics 610|8 ГТ/с||64 ГБ|1600 МГц|2 шт|BX80677G3950||BOX (с кулером)||128 КБ|512 КБ|2 МБ||3.0|2133 МГц||||||||||||||||||
AMD Fusion A4 A4-3300|Fusion A4|Llano|AMD FM1|32 нм|2.5 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4, 3DNow|25||2 cores|||2 threads|Radeon HD 7660D||||1600 МГц|2 шт|||||256 КБ|1024 КБ||||||||||||||||||||||
Intel Core i5 Ivy Bridge i5-3350P|Core i5|Ivy Bridge|Intel LGA 1155|22 нм|3.1 ГГц|69 Вт|MMX, SSE, SSE2, SSE3, SSE4|31|67 °С|4 cores|||4 threads|отсутствует|5 ГТ/с||32 ГБ|1600 МГц|2 шт|BX80637I53350P|3.3 ГГц|||64 КБ|1024 КБ|6 МБ|||||||||||||||||||||
Intel Core i7 Raptor Lake Refresh 14700F BOX|Core i7|Raptor Lake Refresh|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|20 cores|||28 threads|отсутствует|||192 ГБ||2 шт|BX8071514700F, BXC8071514700F||BOX (без кулера)||||33 МБ|Есть|5.0|3200 МГц|219 Вт|5600 МГц|2.1 ГГц|1.5 ГГц|5.4 ГГц|5.3 ГГц|4.2 ГГц|8 cores|12 cores|||||||||
Intel Core i5 Raptor Lake Refresh 14600T OEM|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||35 Вт|SSE4.1, SSE4.2, AVX2||100 °С|14 cores|||20 threads|UHD Graphics 770|||192 ГБ||2 шт|CM8071504821019||OEM (без коробки)||||24 МБ|Есть|5.0|3200 МГц|92 Вт|5600 МГц|1.8 ГГц|1.3 ГГц||5.1 ГГц|3.6 ГГц|6 cores|8 cores|||||||||
AMD Rome EPYC 7542 BOX|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2.9 ГГц|225 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||32 cores|||64 threads|отсутствует|||||8 шт|100-100000075WOF|3.4 ГГц|BOX (без кулера)||||128 МБ|Есть||3200 МГц||||||||||||||||||
Intel Core i3 Ivy Bridge i3-3245|Core i3|Ivy Bridge|Intel LGA 1155|22 нм|3.4 ГГц|55 Вт|MMX, SSE, SSE2, SSE3, SSE4|34|65 °С|2 cores|||4 threads|HD Graphics 4000|5 ГТ/с||32 ГБ|1600 МГц|2 шт|||||64 КБ|512 КБ|3 МБ|Есть||||||||||||||||||||
AMD Rome EPYC 7662 OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2 ГГц|225 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||64 cores|||128 threads|отсутствует|||||8 шт|100-000000137|3.3 ГГц|OEM (без коробки)||||256 МБ|Есть||3200 МГц||||||||||||||||||
Intel Xeon Platinum 8280L|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.7 ГГц|205 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /||84 °С|28 cores|||56 threads|отсутствует|||4500 ГБ||6 шт|CD8069504228201|4 ГГц|||||38.5 МБ|Есть||2933 МГц||||||||||||||||||
AMD Milan EPYC 7413 BOX|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2.65 ГГц|180 Вт||||24 cores|||48 threads|отсутствует|||||8 шт|100-100000323WOF|3.6 ГГц|BOX (без кулера)||||128 МБ|Есть||3200 МГц||||||||||||||||||
Intel Core 2 Duo E4400|Core 2 Duo|Conroe|Intel LGA 775|65 нм|2 ГГц|65 Вт|MMX, SSE, SSE2, SSE3|10|73 °С|2 cores||||||||||||||64 КБ|2048 КБ||||||||||||||||||||||
Intel Core i5 Sandy Bridge i5-2310|Core i5|Sandy Bridge|Intel LGA 1155|32 нм|2.9 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|29|73 °С|4 cores|||4 threads|HD Graphics 2000|5 ГТ/с||32 ГБ|1333 МГц|2 шт||3.2 ГГц|||64 КБ|1024 КБ|6 МБ|||||||||||||||||||||
Intel Core i5 Ivy Bridge i5-3330|Core i5|Ivy Bridge|Intel LGA 1155|22 нм|3 ГГц|77 Вт|MMX, SSE, SSE2, SSE3, SSE4|30|67 °С|4 cores|||4 threads|HD Graphics 2500|5 ГТ/с||32 ГБ|1600 МГц|2 шт|BX80637I53330|3.2 ГГц|||64 КБ|1024 КБ|6 МБ|||||||||||||||||||||
Intel Core i5 Ivy Bridge i5-3340|Core i5|Ivy Bridge|Intel LGA 1155|22 нм|3.1 ГГц|77 Вт|MMX, SSE, SSE2, SSE3, SSE4|31|67 °С|4 cores|||4 threads|HD Graphics 2500|5 ГТ/с||32 ГБ|1600 МГц|2 шт|BX80637I53340|3.3 ГГц|||128 КБ|1024 КБ|6 МБ|||||||||||||||||||||
AMD Ryzen Threadripper Pro 7000 7985WX BOX|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|3.2 ГГц|350 Вт|AVX512, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2, SSE4A||95 °С|64 cores|||128 threads|отсутствует|||||8 шт|100-100000454WOF|5.1 ГГц||Есть|4096 КБ|65536 КБ|256 МБ|Есть|5.0 / x148 /|||5200 МГц||||||||141956 балл(ов)||||||||
AMD Ryzen Threadripper Pro 7000 7975WX BOX|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|4 ГГц|350 Вт|AVX512, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2, SSE4A||95 °С|32 cores|||64 threads|отсутствует|||||8 шт|100-100000453WOF|5.3 ГГц||Есть|2048 КБ|32768 КБ|128 МБ|Есть|5.0 / x148 /|||5200 МГц||||||||100760 балл(ов)||||||||
AMD Rome EPYC 7252 BOX|EPYC|Rome (Zen 2)|AMD SP3|7 нм|3.1 ГГц|120 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||8 cores|||16 threads|отсутствует|||||8 шт|100-100000080WOF|3.2 ГГц|BOX (без кулера)||||64 МБ|Есть||3200 МГц||||||||||||||||||
Intel Pentium Haswell G3258|Pentium|Haswell|Intel LGA 1150|22 нм|3.2 ГГц|53 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|32|72 °С|2 cores|||2 threads|отсутствует|5 ГТ/с||32 ГБ|1333 МГц|2 шт|BX80646G3258|||Есть|64 КБ|512 КБ|3 МБ|||||||||||||||||||||
Intel Xeon W-2200 W-2295|Xeon|Cascade Lake|Intel LGA 2066|14 нм|3 ГГц|165 Вт||30||18 cores|||36 threads|отсутствует|||1000 ГБ||4 шт|CD8069504393000|4.6 ГГц||Есть|||24.75 МБ|Есть||2933 МГц|||||4.8 ГГц|||||||||||||
AMD Rome EPYC 7702 OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2 ГГц|200 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||64 cores|||128 threads|отсутствует|||||8 шт|100-000000038, 100000000038|3.35 ГГц|OEM (без коробки)||||256 МБ|Есть||3200 МГц||||||||||||||||||
AMD Rome EPYC 7452 BOX|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2.35 ГГц|155 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||32 cores|||64 threads|отсутствует|||||8 шт|100-100000057WOF|3.35 ГГц|BOX (без кулера)||||128 МБ|Есть||3200 МГц||||||||||||||||||
AMD Rome EPYC 7532 OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2.4 ГГц|200 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||32 cores|||64 threads|отсутствует|||||8 шт|100-000000136|3.3 ГГц|OEM (без коробки)||||256 МБ|Есть||3200 МГц||||||||||||||||||
Intel Xeon E5 v4 E5-1630 v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|3.7 ГГц|140 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT, TSX /|37|69 °С|4 cores|||8 threads|отсутствует|5 ГТ/с||1536 ГБ||4 шт||4 ГГц|||256 КБ|1024 КБ|10 МБ|Есть||2400 МГц||||||||||||||||||
Intel Xeon E-2200 E-2278G|Xeon|Coffee Lake|Intel LGA 1151 v2|14 нм|3.4 ГГц|80 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|UHD Graphics P630|||128 ГБ||2 шт|CM8068404225303|5 ГГц|||||16 МБ|Есть|3.0|2666 МГц||||||||||||||||||
AMD Rome EPYC 7702P OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2 ГГц|200 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||64 cores|||128 threads|отсутствует|||||8 шт|100-000000047|3.35 ГГц|OEM (без коробки)||||256 МБ|Есть||3200 МГц||||||||||||||||||
AMD Milan EPYC 75F3 BOX|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2.95 ГГц|280 Вт||||32 cores|||64 threads|отсутствует|||||8 шт|100-100000313WOF|4 ГГц|BOX (без кулера)||||256 МБ|Есть||3200 МГц||||||||||||||||||
Intel Xeon E5 v4 E5-4660 v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|2.2 ГГц|120 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TXT, TSX, TBT 2.0 /|22|83 °С|16 cores|||32 threads|отсутствует|9.6 ГТ/с||1536 ГБ||4 шт||3 ГГц|||1024 КБ|4096 КБ|40 МБ|Есть||2400 МГц||||||||||||||||||
Intel Core i7 Broadwell-E i7-6900K BOX|Core i7|Broadwell-E|Intel LGA 2011 v3|14 нм|3.2 ГГц|140 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0 /|32||8 cores|||16 threads|отсутствует|||128 ГБ||4 шт|BX80671I76900K|3.7 ГГц|BOX (без кулера)|Есть|512 КБ|2048 КБ|20 МБ|Есть||2400 МГц|||||4 ГГц|||||||||||||
AMD Rome EPYC 7402 BOX|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2.8 ГГц|180 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||24 cores|||48 threads|отсутствует|||||8 шт|100-100000046WOF|3.35 ГГц|BOX (без кулера)||||128 МБ|Есть||3200 МГц||||||||||||||||||
Intel Core i5 Haswell i5-4690T|Core i5|Haswell|Intel LGA 1150|22 нм|2.5 ГГц|45 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|25|71 °С|4 cores|||4 threads|HD Graphics 4600|5 ГТ/с||32 ГБ|1600 МГц|2 шт||3.5 ГГц|||128 КБ|1024 КБ|6 МБ|||||||||||||||||||||
Intel Xeon E5 v4 E5-2650 v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|2.2 ГГц|105 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|22|80 °С|12 cores|||24 threads|отсутствует|9.6 ГТ/с||1536 ГБ||4 шт||2.9 ГГц|||768 КБ|3072 КБ|30 МБ|Есть||2400 МГц||||||||||||||||||
Intel Core i7 Broadwell-E i7-6850K BOX|Core i7|Broadwell-E|Intel LGA 2011 v3|14 нм|3.6 ГГц|140 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0 /|36||6 cores|||12 threads|отсутствует|||128 ГБ||4 шт|BX80671I76850K, BXC80671I76850K|3.8 ГГц|BOX (без кулера)|Есть|384 КБ|1536 КБ|15 МБ|Есть||2400 МГц|||||4 ГГц|||||||||||||
AMD Rome EPYC 7252 OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|3.1 ГГц|120 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||8 cores|||16 threads|отсутствует|||||8 шт|100-000000080|3.2 ГГц|OEM (без коробки)||||64 МБ|Есть||3200 МГц||||||||||||||||||
Intel Core i5 Haswell i5-4570S|Core i5|Haswell|Intel LGA 1150|22 нм|2.9 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|29|71 °С|4 cores|||4 threads|HD Graphics 4600|5 ГТ/с||32 ГБ|1600 МГц|2 шт||3.6 ГГц|||128 КБ|1024 КБ|6 МБ|||||||||||||||||||||
AMD Rome EPYC 7H12 OEM|EPYC|Rome (Zen 2)|AMD SP3|7 нм|2.6 ГГц|280 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4A, AES, AVX, AVX2, BMI1, SHA / F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP, Precision Boost 2, SMT /|||64 cores|||128 threads|отсутствует|||||8 шт|100-000000055|3.3 ГГц|OEM (без коробки)||||256 МБ|Есть||3200 МГц||||||||||||||||||
AMD Milan EPYC 7443 OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2.85 ГГц|200 Вт||||24 cores|||48 threads|отсутствует|||||8 шт|100-000000340|4 ГГц|OEM (без коробки)||||128 МБ|Есть||3200 МГц||||||||||||||||||
AMD Milan EPYC 72F3 OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|3.7 ГГц|180 Вт||||8 cores|||16 threads|отсутствует|||||8 шт|100-000000327|4.1 ГГц|OEM (без коробки)||||256 МБ|Есть||3200 МГц||||||||||||||||||
Intel Core i5 Coffee Lake Refresh i5-9600T OEM|Core i5|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|2.3 ГГц|35 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|23|100 °С|6 cores|||6 threads|UHD Graphics 630|||128 ГБ||2 шт|CM8068403358709|3.9 ГГц|OEM (без коробки)|Есть|384 КБ|1536 КБ|9 МБ||3.0|2666 МГц||||||||||9406 балл(ов)|18460 балл(ов)|908 балл(ов)||||||
Intel Core i5 Coffee Lake Refresh i5-9600 BOX|Core i5|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.1 ГГц|65 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|31|100 °С|6 cores|||6 threads|UHD Graphics 630|||128 ГБ||2 шт|BX80684I59600|4.6 ГГц|BOX (с кулером)|Есть|384 КБ|1536 КБ|9 МБ||3.0|2666 МГц||||||||||10678 балл(ов)|22861 балл(ов)|908 балл(ов)||||||
AMD Ryzen Threadripper Pro 7000 7995WX OEM|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|2.5 ГГц|350 Вт|AVX512, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2, SSE4A||95 °С|96 cores|||192 threads|отсутствует|||||8 шт|100-000000884|5.1 ГГц||Есть|6144 КБ|98304 КБ|384 МБ|Есть|5.0 / x148 /|||5200 МГц||||||||153096 балл(ов)||||||||
Intel Xeon Gold 6136 OEM|Xeon|Skylake|Intel LGA 3647|14 нм|3 ГГц|150 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|30|85 °С|12 cores|||24 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|CD8067303405800|3.7 ГГц|||1024 КБ|16384 КБ|24.75 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Xeon E-2200 E-2226GE|Xeon|Coffee Lake|Intel LGA 1151 v2|14 нм|3.4 ГГц|80 Вт|SSE4.1, SSE4.2, AVX2|||6 cores|||6 threads|UHD Graphics 630|8 ГТ/с||128 ГБ||2 шт|CM8068404405020|4.6 ГГц|||||12 МБ||3.0|2666 МГц||||||||||||||||||
Intel Xeon w7 Sapphire Rapids w7-3465X OEM|Xeon|Sapphire Rapids|Intel LGA 4677|10 нм||300 Вт|SSE4.1, AMX, SSE4.2, AVX2, AVX-512||100 °С|28 cores|||56 threads|отсутствует|||||8 шт|PK8071305081700|||Есть||||Есть|5.0 / x112 /||360 Вт|4800 МГц|2.5 ГГц||4.8 ГГц|4.6 ГГц||28 cores|||||||75 МБ|4000 ГБ||
AMD Rome EPYC 7302P BOX|EPYC|Rome (Zen 2)|AMD SP3|7 нм|3 ГГц|155 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||16 cores|||32 threads|отсутствует|||||8 шт|100-100000049WOF|3.3 ГГц||||||Есть||3200 МГц|||||||||||||||128 МБ|||
Intel Pentium Skylake G4400 BOX|Pentium|Skylake|Intel LGA 1151|14 нм|3.3 ГГц|54 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, BMI, BMI1|33||2 cores|||2 threads|HD Graphics 510|8 ГТ/с|||1600 МГц|2 шт|BX80662G4400||||||||3.0|2133 МГц|||||||||||||64 КБ|512 КБ|3 МБ|64 ГБ|Есть|
Intel Celeron Skylake G3900 BOX|Celeron|Skylake|Intel LGA 1151|14 нм|2.8 ГГц|51 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, F16C|28||2 cores|||2 threads|HD Graphics 510|8 ГТ/с|||1600 МГц|2 шт|BX80662G3900||||||||3.0|2133 МГц||||||||||3153 балл(ов)||213 балл(ов)|128 КБ|512 КБ|2 МБ|64 ГБ|Есть|
AMD Milan EPYC 7543 OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2.8 ГГц|225 Вт||||32 cores|||64 threads|отсутствует|||||8 шт|100-000000345|3.7 ГГц|OEM (без коробки)||||256 МБ|Есть||3200 МГц||||||||||45978 балл(ов)||||||||
AMD Naples EPYC 7281|EPYC|Naples (Zen)|AMD SP3|14 нм|2.1 ГГц|170 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||16 cores|||32 threads|отсутствует|||||8 шт|PS7281BEVGAAF|2.7 ГГц||||||Есть||2666 МГц|||||||||||||1536 КБ|8192 КБ|32 МБ|||
Intel Xeon E5 v4 E5-2618L v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|2.2 ГГц|75 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|22|87 °С|10 cores|||20 threads|отсутствует|8 ГТ/с||1536 ГБ||4 шт||3.2 ГГц|||640 КБ|2560 КБ|25 МБ|Есть||2133 МГц||||||||||||||||||
